Date,Price
2011-03-07,379.5
2011-03-08,378.781006
2011-03-09,390
2011-03-10,386.875
2011-03-11,383.5
2011-03-14,379.375
2011-03-15,379
2011-03-16,378.125
2011-03-17,373.013
2011-03-18,372.519012
2011-03-21,368.924988
2011-03-22,366.894012
2011-03-23,366.843994
2011-03-24,374.118988
2011-03-25,380.5
2011-03-28,392.375
2011-03-29,391.5
2011-03-30,396.5
2011-03-31,397.75
2011-04-01,404.388
2011-04-04,403.125
2011-04-05,409.618988
2011-04-06,409.875
2011-04-07,407.737
2011-04-08,405.25
2011-04-11,399.412994
2011-04-13,401.375
2011-04-15,412.019012
2011-04-18,364.875
2011-04-19,363.25
2011-04-20,364.875
2011-04-21,364.837006
2011-04-25,364.375
2011-04-26,366.875
2011-04-27,368.125
2011-04-28,368.625
2011-04-29,363.75
2011-05-02,364.881012
2011-05-03,365
2011-05-04,362.625
2011-05-05,358.412994
2011-05-06,357.237
2011-05-09,363.75
2011-05-10,363.462006
2011-05-11,360.25
2011-05-12,362.237
2011-05-13,360.399994
2011-05-16,359.5
2011-05-17,356.049988
2011-05-18,356.25
2011-05-19,357.462006
2011-05-20,355.625
2011-05-23,355.980988
2011-05-24,354.125
2011-05-25,353.462006
2011-05-26,349.25
2011-05-27,345
2011-05-30,350.763
2011-05-31,349.125
2011-06-01,349.25
2011-06-02,347.5
2011-06-03,351.375
2011-06-06,352.75
2011-06-07,353.756012
2011-06-08,361.125
2011-06-09,360.187988
2011-06-10,358.562012
2011-06-13,356.062012
2011-06-14,359.725006
2011-06-15,357.718994
2011-06-16,353.625
2011-06-17,350.013
2011-06-20,346.037994
2011-06-21,340.375
2011-06-22,344.125
2011-06-23,343.75
2011-06-24,348.875
2011-06-27,353.955994
2011-06-28,358.756012
2011-06-29,358.5
2011-06-30,360.756012
2011-07-01,366.875
2011-07-04,370.830994
2011-07-05,369.625
2011-07-06,368.375
2011-07-07,369.399994
2011-07-08,375
2011-07-11,369.237
2011-07-12,356.25
2011-07-13,345.75
2011-07-14,345.031006
2011-07-15,343
2011-07-18,341.875
2011-07-19,340.125
2011-07-20,346.600006
2011-07-21,343.149994
2011-07-22,348.037994
2011-07-25,352.25
2011-07-26,351.125
2011-07-27,350.125
2011-07-28,345.625
2011-07-29,342.625
2011-08-01,347.513
2011-08-02,349.819
2011-08-03,341.875
2011-08-04,342.5
2011-08-05,330.450012
2011-08-08,312.5
2011-08-09,293.875
2011-08-10,306
2011-08-11,304
2011-08-12,311
2011-08-16,303.75
2011-08-17,299.5
2011-08-18,308.125
2011-08-19,284.25
2011-08-22,276.737
2011-08-23,275.156006
2011-08-24,285
2011-08-25,281.274994
2011-08-26,273.312012
2011-08-29,279.875
2011-08-30,291.375
2011-09-02,298.125
2011-09-05,286.712006
2011-09-06,281.737
2011-09-07,287.237
2011-09-08,287.5
2011-09-09,291.013
2011-09-12,276
2011-09-13,277.888
2011-09-14,281.375
2011-09-15,297.25
2011-09-16,307.237
2011-09-19,299.875
2011-09-20,297.125
2011-09-21,305
2011-09-22,298
2011-09-23,291
2011-09-26,293.125
2011-09-27,297.149994
2011-09-28,310
2011-09-29,310.25
2011-09-30,316.487
2011-10-03,311.25
2011-10-04,306.524994
2011-10-05,307.243988
2011-10-07,320
2011-10-10,318.125
2011-10-11,324.174988
2011-10-12,324.375
2011-10-13,339.875
2011-10-14,338.888
2011-10-17,345.138
2011-10-18,337.487
2011-10-19,340.25
2011-10-20,336.5
2011-10-21,343.444
2011-10-24,343.75
2011-10-25,351.375
2011-10-28,365.125
2011-10-31,357
2011-11-01,355
2011-11-02,352.5
2011-11-03,354.25
2011-11-04,355.625
2011-11-08,351.881012
2011-11-09,355.625
2011-11-11,326.337006
2011-11-14,351.269012
2011-11-15,350.013
2011-11-16,349.375
2011-11-17,346.037994
2011-11-18,341.381012
2011-11-21,340
2011-11-22,325
2011-11-23,334.375
2011-11-24,330.125
2011-11-25,331.875
2011-11-28,327.506012
2011-11-29,327.774994
2011-11-30,322.625
2011-12-01,334.25
2011-12-02,331.375
2011-12-05,336.25
2011-12-07,338.125
2011-12-08,343.375
2011-12-09,333.519012
2011-12-12,339.987
2011-12-13,341.412994
2011-12-14,343.75
2011-12-15,340.787994
2011-12-16,336.875
2011-12-19,336.25
2011-12-20,336.25
2011-12-21,339.875
2011-12-22,331.25
2011-12-23,342.5
2011-12-26,336.375
2011-12-27,345.625
2011-12-28,346.125
2011-12-29,344.75
2011-12-30,343
2012-01-02,344.899994
2012-01-03,353.013
2012-01-04,355.625
2012-01-05,354.899994
2012-01-06,354.75
2012-01-07,354
2012-01-09,355.937988
2012-01-10,358.75
2012-01-11,358.5
