Date,Price
2011-05-16,344.5
2011-05-17,335.75
2011-05-18,337.899994
2011-05-19,338.950012
2011-05-20,341
2011-05-23,340.25
2011-05-24,341.100006
2011-05-25,346
2011-05-26,341.274994
2011-05-27,340.625
2011-05-30,353.5
2011-05-31,333.5
2011-06-01,336.5
2011-06-02,334.5
2011-06-03,331.5
2011-06-06,331.5
2011-06-07,327.5
2011-06-08,327.950012
2011-06-09,330.100006
2011-06-10,332.649994
2011-06-13,331.700012
2011-06-14,332.549988
2011-06-15,334.100006
2011-06-16,325.299988
2011-06-17,326.649994
2011-06-20,323.5
2011-06-21,319.299988
2011-06-22,319.600006
2011-06-23,322.375
2011-06-24,328.5
2011-06-27,334.700012
2011-06-28,346.25
2011-06-29,348
2011-06-30,346.549988
2011-07-01,355.899994
2011-07-04,351
2011-07-05,352.924988
2011-07-06,358.75
2011-07-07,358.5
2011-07-08,362.200012
2011-07-11,358.5
2011-07-12,358.149994
2011-07-13,352.274994
2011-07-14,355.450012
2011-07-15,356.575012
2011-07-18,358.875
2011-07-19,354.975006
2011-07-20,358.799988
2011-07-21,351
2011-07-22,354.450012
2011-07-25,360.5
2011-07-26,373.850006
2011-07-27,359
2011-07-28,354.5
2011-07-29,357.5
2011-08-01,362.25
2011-08-02,363.274994
2011-08-03,357.649994
2011-08-04,353.100006
2011-08-05,330
2011-08-08,320.450012
2011-08-09,318.100006
2011-08-10,355
2011-08-11,359.5
2011-08-12,366.850006
2011-08-16,371.549988
2011-08-17,363.375
2011-08-18,359.950012
2011-08-19,351.825012
2011-08-22,359.5
2011-08-23,357.5
2011-08-24,351.100006
2011-08-25,352.350006
2011-08-26,347.600006
2011-08-29,353.75
2011-08-30,370
2011-09-02,374
2011-09-05,381.350006
2011-09-06,381
2011-09-07,400.274994
2011-09-08,396.450012
2011-09-09,395.950012
2011-09-12,389.725006
2011-09-13,392.875
2011-09-14,392.700012
2011-09-15,400
2011-09-16,405.25
2011-09-19,397.5
2011-09-20,401.350006
2011-09-21,408.450012
2011-09-22,401.725006
2011-09-23,388.75
2011-09-26,390
2011-09-27,390.049988
2011-09-28,401.899994
2011-09-29,393.625
2011-09-30,405.5
2011-10-03,400
2011-10-04,402.125
2011-10-05,389.299988
2011-10-07,398.600006
2011-10-10,396
2011-10-11,407.5
2011-10-12,399.549988
2011-10-13,407.5
2011-10-14,396.799988
2011-10-17,405.75
2011-10-18,401.049988
2011-10-19,405.25
2011-10-20,403
2011-10-21,401.850006
2011-10-24,406.700012
2011-10-25,407.25
2011-10-28,434.125
2011-10-31,437.5
2011-11-01,429.600006
2011-11-02,415.75
2011-11-03,419.350006
2011-11-04,424.399994
2011-11-08,420
2011-11-09,419.125
2011-11-11,406.5
2011-11-14,423
2011-11-15,395.399994
2011-11-16,381.625
2011-11-17,386.450012
2011-11-18,376.5
2011-11-21,365.5
2011-11-22,362.549988
2011-11-23,353.5
2011-11-24,348.049988
2011-11-25,354
2011-11-28,358.049988
2011-11-29,359.950012
2011-11-30,360.399994
2011-12-01,374.75
2011-12-02,366.825012
2011-12-05,373.5
2011-12-07,376
2011-12-08,378.899994
2011-12-09,357.600006
2011-12-12,353.825012
2011-12-13,339.5
2011-12-14,349.125
2011-12-15,332.625
2011-12-16,331.75
2011-12-19,329.100006
2011-12-20,328
2011-12-21,331.375
2011-12-22,336.149994
2011-12-23,353
2011-12-26,346.774994
2011-12-27,350.5
2011-12-28,352.399994
2011-12-29,342.399994
2011-12-30,343.350006
2012-01-02,343.899994
2012-01-03,339.25
2012-01-04,333.5
2012-01-05,320
2012-01-06,323
2012-01-07,325
2012-01-09,326.924988
2012-01-10,329.450012
2012-01-11,345.75
2012-01-12,339
2012-01-13,345
2012-01-16,343.350006
2012-01-17,347.25
2012-01-18,354
2012-01-19,346.5
2012-01-20,338.899994
2012-01-23,327.774994
2012-01-24,332.5
2012-01-25,346.200012
2012-01-27,346.975006
2012-01-30,348
2012-01-31,336.899994
2012-02-01,337.25
2012-02-02,349.950012
2012-02-03,351.5
2012-02-06,361.350006
2012-02-07,360.5
2012-02-08,340
2012-02-09,344.5
2012-02-10,350.5
2012-02-13,347.399994
2012-02-14,352.5
2012-02-15,362.5
2012-02-16,366.899994
2012-02-17,367.450012
2012-02-21,374.674988
2012-02-22,381.774994
2012-02-23,369
2012-02-24,365
2012-02-27,366.5
2012-02-28,350.875
2012-02-29,355
2012-03-01,351.600006
2012-03-02,341.924988
2012-03-03,337
2012-03-05,337.5
